"","t1","t2","t3","t4","t5","temp","v","north","east","time","err.rms","err.metres","err.millisecs","sound.type","sound.name","species","low.peak.score"
"1",0.270971575029667,0.259592138316641,0.893357093211513,0.924011902315992,0.332281193238625,21.5,344.091588483172,4565735.00083208,279034.440695813,0.639635762806201,522.714437602234,188.568342313423,548.017878451117,"song","song","DICK",0.490008422539921
"2",0.915046369841404,0.689898060875082,0.931999259531494,1.3528024940307,0.97705214446132,21.5,344.091588483172,4565775.8313467,278984.890184781,1.08573651197185,2885.16287898479,149.919535307872,435.696600340475,"alarm","cheer","RWBL",0.424665932488545
"3",1.2391469494522,0.825545659989757,1.49262578575105,1.08819757373598,1.15763428656544,21.5,344.091588483172,4565817.57807597,278862.55577833,1.16837743933493,1639.03646749129,186.61255012208,542.333949355483,"song","song","DICK",0.560584745611937
"4",1.42156836921805,1.34237900579926,1.44815834608447,1.27108535603514,1.34005673707731,21.5,344.091588483172,4565848.58525434,279024.734321632,1.33963600857394,148.414726033758,25.354038227481,73.6839814633277,"song","song","non-target",0.580352909493787
"5",1.70658387697703,2.14085006515453,1.98630239230313,1.97480711085137,2.07036889504123,21.5,344.091588483172,4565778.04210456,278993.594553239,1.87964715887195,702.052280420555,68.0990220523786,197.909580854834,"alarm","tink","DICK",0.17162279069919
"6",2.23385997695615,2.24024635213287,2.03286333275809,2.02160008926461,2.28959561486203,21.5,344.091588483172,4565875.56289339,279028.815357718,2.18111953007945,102.483858864735,67.706855147465,196.769864226937,"song","song","DICK",0.541023399631202
"7",2.20764890521773,2.21415131360383,2.34861182987347,2.00247469774929,2.26338383424142,21.5,344.091588483172,4565880.23370088,279003.240443945,2.13996085322973,285.180503711695,47.0717635287724,136.800099462688,"alarm","cheer","RWBL",0.449736319747101
"8",2.98466278969779,2.99128136724604,3.12493018756232,2.71701680287847,3.04039817957774,21.5,344.091588483172,4565887.4426274,278994.355445466,2.87946680899134,396.608610506786,54.6301922696132,158.766427596892,"song","song","DICK",0.523168138743143
"9",3.0358258424099,3.24541128714416,3.17609133672512,3.18944442600182,3.09156047591264,21.5,344.091588483172,4565829.83085699,279021.802738653,3.12103863904938,202.617096001288,32.2247703544579,93.65172364867,"alarm","tink","DICK",0.660058829809273
"10",3.73797621457017,3.74494300299103,4.10663543517389,3.74006625109643,3.66331546532665,21.5,344.091588483172,4565872.08143335,278982.901509978,3.86046963049383,670.792018810308,88.7622348234351,257.961071395897,"","","",0.656591484724578
"11",4.3058919570467,4.28452696386126,4.13996491757937,4.15273746785327,4.22972111177688,21.5,344.091588483172,4565840.57465943,279026.841063929,4.21914284441623,25.2278980276861,31.7109273760288,92.1583916532723,"","","",0.643433953909618
"12",3.90968385318581,3.83084355285665,3.74224981331152,3.74782320714922,3.83316580028903,21.5,344.091588483172,4565850.57980874,279029.33626739,3.83589359583715,60.0333418579684,40.8668180914079,118.767268539046,"call","check","RWBL",0.69956703297413
"13",4.38746648967251,4.3924594495081,3.98280451229948,4.10379670180384,4.4902285700097,21.5,344.091588483172,4565878.12325626,278975.255256162,4.25120934403757,842.033704390889,97.0507514241468,282.049183044453,"alarm","tink","DICK",0.135766182675863
"14",5.31314849729081,5.25009936546579,5.17601953838593,5.23036022658872,5.23709475632325,21.5,344.091588483172,4565863.47308854,279007.199670572,5.3390490336452,81.6989655499107,73.6178173277969,213.948320132787,"","","",0.460402685835142
"15",5.76526331855771,5.75237465174624,5.62604249417075,5.49076954970801,5.689905257651,21.5,344.091588483172,4565809.99630618,279038.297585859,5.59584279337726,145.806425018251,30.8750609251036,89.7291940823294,"song","song","DICK",0.606802364421283
"16",6.44332029621653,6.43147662404446,6.28250180642916,6.60506770146838,6.50404814470664,21.5,344.091588483172,4565882.21124398,279019.467615229,6.4572031784185,184.429229983923,60.1947646739696,174.938204503402,"song","song","DICK",0.441086347390125
"17",6.83447430450225,6.82309513206139,6.88869954460309,6.99691779679576,6.89520192885501,21.5,344.091588483172,4565832.49140054,279027.956461499,6.925172395094,132.282108685581,45.7703769185013,133.018005817191,"alarm","cheer","RWBL",0.438536180574885
"18",6.55852544967251,6.5466816844811,6.17917661751249,6.91430286679473,6.84776877410184,21.5,344.091588483172,4566055.73967131,278998.585736528,6.56780571132946,681.047264881331,220.915865808401,642.026347642627,"alarm","tink","DICK",0.267392689944139
"19",7.58603560715775,7.568734723149,7.51160697192548,7.591725159617,7.51102640534801,21.5,344.091588483172,4565839.61797962,279037.453149894,7.4901943760921,117.5182898233,5.82953643157896,16.9418161521378,"song","oakalee","RWBL",0.726137790485508
"20",8.11830807379879,8.03876957446161,7.85751468765091,7.87377073131107,7.98048004648021,21.5,344.091588483172,4565873.62172853,279029.589699672,8.02278418811198,259.248583775271,70.4892851378975,204.856170558045,"","","",0.712886777409533
"21",8.15249318226493,8.44637905733712,8.06413002504251,8.59709571709362,8.48968977697439,21.5,344.091588483172,4565909.94011062,279022.662924486,8.37148452805773,1389.567857968,104.129295580983,302.620869170348,"alarm","tink","DICK",0.158217445831735
"22",9.05711420928358,9.06361651304399,9.19761041553542,9.21061502305625,9.11273212894856,21.5,344.091588483172,4565842.85658843,279028.542084528,9.13062571556464,52.5139177967112,31.269371992162,90.8751420806417,"song","song","DICK",0.581221016876082
"23",10.0011497723105,9.98442941089282,10.0559554014017,9.9214958283347,10.0564198558855,21.5,344.091588483172,4565846.30867571,279014.598721038,9.94494779299569,323.178932198181,18.197852034542,52.8866518207027,"alarm","cheer","RWBL",0.547095865253322
