"","t1","t2","t3","t4","t5","v","north","east","time","err.rms","err.metres","err.millisecs","sound.type","low.peak.score"
"1",1.33717878850047,1.28736317249479,1.20305982233134,NA,1.25821697292037,344.091588483172,4565829.66002357,279042.961463878,1.19973019552452,24.7165822757295,2.98201551911467,8.66634238942027,"dickcissel",0.785702786205159
"2",3.50690371334667,3.45267958761212,3.35862917680914,NA,3.42283890171537,344.091588483172,4565828.74981668,279045.531507358,3.36156098994764,8.72598421318963,2.55676973398718,7.43049182125595,"check",0.688932355090779
"3",6.84152145939198,6.79147586107772,6.70729243003865,NA,6.76233097667661,344.091588483172,4565829.68258583,279043.063133873,6.70388431260125,24.0462262721212,2.92253364843791,8.49347599957632,"dickcissel",0.74530677723233
"4",8.98416018037685,8.95745399243032,9.04930005619427,NA,9.00866020497128,344.091588483172,4565965.47489438,279069.608590865,8.6391282279746,62.0242821131405,0.482655383839717,1.40269451504863,"dickcissel",0.809646154899984
"5",10.4999808725378,10.4443623419213,10.3515873816654,NA,10.4181206134885,344.091588483172,4565831.28433628,279045.194571405,10.3607016576697,15.727466388072,4.68754261576243,13.6229503209483,"dickcissel",0.763468504959301
"6",11.6710690491272,11.6147533018528,11.5220935774714,NA,11.5858406810872,344.091588483172,4565828.50326052,279046.855161247,11.5222769420742,4.81680991012174,1.50314879456161,4.3684555068254,"check",0.644983013877825
"7",12.5207410797292,12.4709287445942,12.3863987213347,NA,12.441900577266,344.091588483172,4565829.71639344,279042.946979091,12.3834618974751,25.1241324742631,3.07079602493841,8.9243565600517,"dickcissel",0.792044807281346
"8",14.3553858473827,14.3290279320822,14.4218031493736,NA,14.3808148493687,344.091588483172,4565948.32375781,279062.415154602,14.0642052155121,33.5696687951359,0.304898518330156,0.88609698270804,"dickcissel",0.7839631922626
"9",15.7464725145787,15.7441502400424,15.7285910006494,NA,15.6974725218634,344.091588483172,4565834.01278797,279023.193186147,15.6532847406089,23.4845747955933,1.4756916287179,4.28865940961549,"check",0.713643977483586
"10",17.265649076616,17.306172594598,17.457352022714,NA,17.2709902852899,344.091588483172,4565865.41923517,279032.995964961,17.3345581041071,3.00703067111447,33.7448121070182,98.0692735203798,"check",0.730267158446832
"11",18.4117948534792,18.3614017590851,18.2772197465604,NA,18.3329540445078,344.091588483172,4565830.00481355,279043.13324018,18.2747346387709,25.2500546317915,3.14494495371245,9.13984839785253,"dickcissel",0.622127367808131
"12",20.1749845418261,20.1193661024331,20.0264751806912,NA,20.1043874413022,344.091588483172,4565837.56781912,279042.479519737,20.0548590721341,40.2768834178273,11.5619472207285,33.6013654727685,"dickcissel",0.745779484792065
"13",20.9837275966643,21.0416681476122,21.0805661126775,NA,21.0106658888886,344.091588483172,4565850.44403949,279008.611759277,20.9438021725142,11.111286980283,0.501673484838679,1.45796497685445,"check",0.734231415447759
"14",22.2571141841202,22.2777822313123,22.6484137292745,NA,22.2288988163242,344.091588483172,4565906.54656981,279041.63033795,22.4137530482002,15.110765050996,95.6729459640613,278.045000709862,"chonk",0.758653483771728
"15",23.3885676548928,23.3625583415031,23.454635955423,NA,23.4139964032515,344.091588483172,4565963.50226517,279068.025826865,23.0509641014669,52.0803068980116,0.412754461157824,1.19954824521382,"dickcissel",0.792472974377084
"16",25.9300570679429,25.8798967003716,25.795599415981,NA,25.8509848218409,344.091588483172,4565829.78736908,279043.087980005,25.7926053145383,24.4624388613536,3.01185482209552,8.75306146067798,"dickcissel",0.766077428100604
"17",25.1515461563845,25.1590935757271,25.1732595012625,NA,25.1100934070719,344.091588483172,4565841.63197607,279020.590038846,25.0798123539383,2.9800410529943,0.237575111495306,0.690441497110077,"chonk",0.739140258122091
"18",28.5903540221494,28.5627188190377,28.1402950000454,NA,28.6606031729164,344.091588483172,4565915.46917215,279068.750617805,28.3830662249728,771.605595912923,87.8399710944083,255.280785797831,"oriole song?",0.534940758810713
"19",31.7285995976817,31.6780910019797,31.5940261208571,NA,31.6492952968438,344.091588483172,4565829.85409608,279043.231130698,31.5909602788471,23.7952184214704,2.94980684439517,8.57273744295389,"dickcissel",0.723940114415367
"20",33.6066670524338,33.5506996862769,33.7179050955423,NA,33.6770326621663,344.091588483172,4565859.1523693,279022.1686194,33.6026459227079,106.217941377923,19.6954308028202,57.2389197005418,"oriole song?",0.678660018571707
"21",33.3080809256236,33.7581459079182,33.6643243120219,NA,33.7341099297617,344.091588483172,4565800.29592682,279070.915225361,33.5645806681332,6.40681519100084,88.2331568618171,256.423463446948,"dickcissel",0.678211116274951
"22",36.7711327622916,36.7208551477803,36.6364398458179,NA,36.6913620436559,344.091588483172,4565829.51433767,279043.224186223,36.6327350045786,22.2423995827429,2.73925494179081,7.96083087606419,"oriole song?",0.717328053482839
"23",36.9980218005604,36.947860087723,36.863560542538,NA,36.9188313187199,344.091588483172,4565829.73404834,279043.104141881,36.8604092846274,24.0838729611771,2.960550301083,8.60396010880046,"dickcissel",0.452779216551157
"24",39.8094987267695,39.878237941818,39.6723686372892,NA,39.7279870224383,344.091588483172,4565855.37903845,279014.349355227,39.8000861690275,55.8254235666962,50.1005126735142,145.602259254194,"oriole song?",0.617710746945911
"25",42.7480298730894,42.6980999162102,42.6136834542308,NA,42.6688386391555,344.091588483172,4565829.61762563,279043.02973726,42.6103262077534,24.0251572307426,2.92779556265257,8.50876819034986,"oriole song?",0.587618872589682
"26",42.9364060825828,42.8864770649647,42.8019460769972,NA,42.8572163383606,344.091588483172,4565829.61224934,279043.031820619,42.7986873713356,24.0350189692253,2.94157117096096,8.54880290427332,"dickcissel",0.620073270170533
